yard_bin,distance_bin,success_rate,attempts,epa_fail,epa_success,epa_nogo,ev_go,better_choice,decision
"(30, 40]","(1, 2]",0.5669642857142857,224,-2.9326555151546394,2.7777902437007875,-0.028749701213186814,0.30496328562499997,True,Go
"(30, 40]","(2, 4]",0.4754601226993865,326,-2.674888242631579,3.3015197870967743,-0.028749701213186814,0.16665545248466218,True,Go
"(30, 40]","(4, 6]",0.39732142857142855,224,-2.5287663917037038,3.541091928089888,-0.028749701213186814,-0.1170816128571428,False,No Go
"(30, 40]","(6, 10]",0.30392156862745096,204,-2.385621707112676,3.6513097612903227,-0.028749701213186814,-0.5508680255392155,False,No Go
"(30, 40]","(10, 100]",0.22608695652173913,115,-2.031036176179775,4.445694680769231,-0.028749701213186814,-0.566731808521739,False,No Go
"(40, 50]","(0, 1]",0.6893424036281179,441,-2.8368461539416057,2.322594336282895,-0.23762180848047149,0.7197749549659868,True,Go
"(40, 50]","(1, 2]",0.5578947368421052,190,-2.782975534047619,2.8683851235849054,-0.23762180848047149,0.36988883284210505,True,Go
"(40, 50]","(2, 4]",0.467005076142132,197,-2.328192217238095,3.20055047173913,-0.23762180848047149,0.2537586831979697,True,Go
"(40, 50]","(4, 6]",0.45384615384615384,130,-2.1952661511267606,3.619005484237288,-0.23762180848047149,0.44351866799999984,True,Go
"(40, 50]","(6, 10]",0.39655172413793105,174,-1.7201772029523807,3.4724184260869566,-0.23762180848047149,0.3389555464942531,True,Go
"(40, 50]","(10, 100]",0.16822429906542055,107,-1.5118686308988765,3.8338213966666665,-0.23762180848047149,-0.6125936729906543,False,No Go
"(50, 60]","(0, 1]",0.654320987654321,324,-2.9301162971160717,2.336931677735849,-0.048689684504178814,0.5162237358117285,True,Go
"(50, 60]","(1, 2]",0.5681818181818182,88,-2.6147596115789473,3.05052573,-0.048689684504178814,0.6041525143181821,True,Go
"(50, 60]","(2, 4]",0.44565217391304346,92,-2.379543903235294,2.6413380502439026,-0.048689684504178814,-0.14197694570652186,False,No Go
"(50, 60]","(4, 6]",0.46153846153846156,91,-1.9330233671428572,2.91582777,-0.048689684504178814,0.304907926923077,True,Go
"(50, 60]","(6, 10]",0.35294117647058826,136,-2.110730916977273,3.0888707089583334,-0.048689684504178814,-0.2755774019411763,False,No Go
"(50, 60]","(10, 100]",0.24509803921568626,102,-1.7293954419740258,3.3596329788,-0.048689684504178814,-0.48208455452941157,False,No Go
"(60, 70]","(0, 1]",0.7387755102040816,245,-3.275300287015625,2.2052563166298342,-0.01637436899899324,0.7736007140448978,True,Go
"(60, 70]","(1, 2]",0.5915492957746479,71,-2.616970493103448,2.6112368235714287,-0.01637436899899324,0.47577186323943677,True,Go
"(60, 70]","(2, 4]",0.5052631578947369,95,-2.367540937,2.6071663189583334,-0.01637436899899324,0.14599536074736852,True,Go
"(60, 70]","(4, 6]",0.5084745762711864,59,-2.277948406448276,2.586614361,-0.01637436899899324,0.19555808547457643,True,Go
"(60, 70]","(6, 10]",0.4077669902912621,103,-2.475493296,2.633153140261905,-0.01637436899899324,-0.39235591422330063,False,No Go
"(60, 70]","(10, 100]",0.3103448275862069,87,-2.3557743683333334,2.4550537918148145,-0.01637436899899324,-0.8627587324252877,False,No Go
"(70, 80]","(0, 1]",0.7261904761904762,84,-3.1819198251304353,2.118594112295082,-0.013153777879447466,0.667262915142857,True,Go
"(70, 80]","(1, 2]",0.5428571428571428,35,-3.0304843875,2.377176538631579,-0.013153777879447466,-0.0948970276000003,False,No Go
"(70, 80]","(2, 4]",0.5217391304347826,46,-2.8249214727272727,2.317697820833333,-0.013153777879447466,-0.14181575434782623,False,No Go
"(70, 80]","(4, 6]",0.40384615384615385,52,-2.8040577516129033,2.8395352333333332,-0.013153777879447466,-0.5249144307692308,False,No Go
"(70, 80]","(6, 10]",0.3944954128440367,109,-2.631082212363636,2.3234651892790694,-0.013153777879447466,-0.6765359896972475,False,No Go
"(70, 80]","(10, 100]",0.3150684931506849,73,-2.462836712,2.0403480525217392,-0.013153777879447466,-1.044025073863014,False,No Go
"(80, 90]","(0, 1]",0.7142857142857143,21,-3.5923698500000003,1.9356881199999998,-0.005386348318520058,0.3562429857142857,True,Go
"(80, 90]","(1, 2]",0.7142857142857143,7,-3.4328132,1.852776418,-0.005386348318520058,0.3426079557142858,True,Go
"(80, 90]","(2, 4]",0.7894736842105263,19,-3.870385125,1.7568193488666666,-0.005386348318520058,0.5721447227894737,True,Go
"(80, 90]","(4, 6]",0.07692307692307693,13,-3.413951191666667,0.2879247,-0.005386348318520058,-3.1291915076923082,False,No Go
"(80, 90]","(6, 10]",0.37037037037037035,27,-3.2995210235294117,1.587682127,-0.005386348318520058,-1.4894457825925924,False,No Go
"(80, 90]","(10, 100]",0.2777777777777778,72,-2.582575221865384,1.51626598165,-0.005386348318520058,-1.4440082208888885,False,No Go
"(90, 100]","(2, 4]",0.3333333333333333,3,-4.03988145,2.061173,-0.12775869014641067,-2.006196633333334,False,No Go
"(90, 100]","(4, 6]",0.5,2,-1.224889,0.1910802,-0.12775869014641067,-0.5169043999999999,False,No Go
"(90, 100]","(6, 10]",0.5714285714285714,7,-1.85244524,1.6757779225,-0.12775869014641067,0.16368228142857133,True,Go
"(90, 100]","(10, 100]",0.14285714285714285,21,-2.7926802744444448,1.40365558,-0.12775869014641067,-2.1932037238095243,False,No Go
